Recognition Log: Kshitij Sinha(1416-0481) Hritik Baweja(5667-7397) // [$1 RECOGNITION ALGORITHM] // [Unistroke Gesture Logs] // USER-DEPENDENT RANDOM-100
User[all-users],GestureType[all-gestures-types],RandomIteration[1to2],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
1,Zero,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Zero01,Zero05,1,0.93,Zero05,"{'Zero05': 0.9329189616606773, 'Zero04': 0.9124222973023297, 'Six06': 0.6299247858136319, 'Four06': 0.5908358641433451, 'Six02': 0.5578327640051334, 'Eight03': 0.5277496940323152, 'Eight05': 0.49192977612742006, 'Four01': 0.4725314703991247, 'One07': 0.3791563762754785, 'Nine02': 0.37876273282717965, 'Three06': 0.3682637322627096, 'Nine07': 0.34434407251349197, 'Three07': 0.3389271267719238, 'Two02': 0.32203436844328637, 'Two04': 0.31801351907765607, 'Seven04': 0.2999445907063111, 'Five01': 0.2695436146217838, 'Seven02': 0.15418217275312163, 'Five08': 0.15288835075947715, 'One05': 0.008186966743760848}"
1,One,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",One01,One05,1,0.91,One05,"{'One05': 0.9095347862239113, 'Five01': 0.7274086588479451, 'Five08': 0.708774547331013, 'Two04': 0.6345268760392215, 'Two02': 0.6292642996811825, 'Three06': 0.6154244562868801, 'Seven04': 0.6144121464465822, 'Three07': 0.6031190006253604, 'One07': 0.5306436990557867, 'Six02': 0.4382206815720282, 'Six06': 0.42039880674899, 'Nine02': 0.412249694144725, 'Four01': 0.39920541589522474, 'Nine07': 0.39321110357456646, 'Four06': 0.38378835178590365, 'Seven02': 0.33671720556859386, 'Eight05': 0.2631189622086213, 'Eight03': 0.2560190303353127, 'Zero04': 0.09751619496828201, 'Zero05': 0.0692188109735784}"
1,Two,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Two05,Two02,1,0.95,Two02,"{'Two02': 0.953090204488396, 'Two04': 0.9503706393846378, 'Seven04': 0.8425533738104036, 'Three07': 0.7118578217850409, 'Three06': 0.6874847853510049, 'Seven02': 0.6472193949661262, 'One07': 0.6248783847813344, 'Five08': 0.6199544146269, 'Five01': 0.5587756394798635, 'One05': 0.5342573413498565, 'Nine02': 0.4296059537999072, 'Four06': 0.4152435786185896, 'Nine07': 0.390860285953031, 'Six06': 0.3771243869748957, 'Zero04': 0.3714443032256013, 'Four01': 0.36549550311371415, 'Zero05': 0.36119114097829186, 'Six02': 0.3224018064564579, 'Eight05': 0.24265464641824963, 'Eight03': 0.23222000239869656}"
1,Three,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Three03,Three06,1,0.95,Three06,"{'Three06': 0.9459469384392267, 'Three07': 0.9191967093352168, 'Seven04': 0.796838935523062, 'Five01': 0.7494086882078437, 'Two04': 0.7315585657405042, 'Two02': 0.7152895851337571, 'One07': 0.6478905191549862, 'Seven02': 0.6364963788244784, 'Four06': 0.5710507612266468, 'One05': 0.5488325375155475, 'Five08': 0.543275131190851, 'Nine02': 0.49862651901976907, 'Four01': 0.49019818197396436, 'Nine07': 0.4604969370056077, 'Six02': 0.4558963197448985, 'Six06': 0.4487965313351394, 'Zero04': 0.38424952244248656, 'Zero05': 0.3690507347401668, 'Eight03': 0.33011865900369775, 'Eight05': 0.30218564661944136}"
1,Four,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Four08,Four01,1,0.89,Four01,"{'Four01': 0.8915351633831572, 'Four06': 0.757511966581322, 'Six02': 0.7030848427321095, 'Nine07': 0.6009827573126387, 'Six06': 0.5792486538228403, 'Nine02': 0.5702935572808071, 'Zero04': 0.5541439818689808, 'Zero05': 0.538104351690767, 'Five01': 0.48618077197614606, 'Eight03': 0.46842800224471304, 'Eight05': 0.46054265421953966, 'Five08': 0.4360936500310687, 'Three06': 0.4208712039900473, 'Three07': 0.3944493647879601, 'Seven04': 0.3650805196018042, 'One05': 0.3295234945070551, 'Two04': 0.31639955837561184, 'Two02': 0.3125890864283285, 'Seven02': 0.29458638342567733, 'One07': 0.2667221058877748}"
1,Five,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Five02,Five08,1,0.9,Five08,"{'Five08': 0.8968302213892198, 'Five01': 0.816036985877674, 'Nine02': 0.6912547279003984, 'Three06': 0.6679819579408783, 'Seven04': 0.6439719926316075, 'One05': 0.6409670002241048, 'Nine07': 0.6349984438551699, 'Three07': 0.6145364004067443, 'Two04': 0.5906382378478062, 'Two02': 0.5764476679616135, 'Four06': 0.5674407997592215, 'One07': 0.5430104616003386, 'Six02': 0.5065409526724471, 'Six06': 0.4994056019817593, 'Seven02': 0.4901679090532701, 'Four01': 0.48542710917906917, 'Zero04': 0.36382186788132176, 'Zero05': 0.3452261177224685, 'Eight03': 0.23397658898622453, 'Eight05': 0.21614757763508097}"
1,Six,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Six05,Six06,1,0.94,Six06,"{'Six06': 0.9447236221840222, 'Six02': 0.8279983836066975, 'Four06': 0.7321145685757091, 'Zero04': 0.7153083136416432, 'Zero05': 0.6763598452044991, 'Five01': 0.5909932427285373, 'Four01': 0.5786372878503302, 'Five08': 0.5013186210845038, 'Three06': 0.49393678915625994, 'Eight03': 0.48181784884259693, 'One05': 0.4665204588613565, 'Eight05': 0.4632695533211304, 'Three07': 0.4474161422318773, 'One07': 0.434490267405106, 'Nine02': 0.40829368229609886, 'Two04': 0.37047392546981084, 'Seven04': 0.3700094829741557, 'Two02': 0.36337647156793684, 'Nine07': 0.34858344528711316, 'Seven02': 0.27875986716354084}"
1,Seven,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Seven09,Seven04,1,0.87,Seven04,"{'Seven04': 0.8731717644140051, 'Seven02': 0.8318520891155319, 'Two04': 0.7790128225772373, 'Two02': 0.751952601790197, 'Three07': 0.7200786947593566, 'Three06': 0.6902288989232942, 'One07': 0.6504154327401019, 'Five01': 0.6040479692735736, 'Five08': 0.5383271718560566, 'Nine02': 0.4601586291866956, 'Nine07': 0.457738043345741, 'One05': 0.4194744202610441, 'Four06': 0.39682522859954417, 'Six06': 0.3616601537285853, 'Four01': 0.3592043362308244, 'Zero04': 0.32997418638182086, 'Zero05': 0.3063839793934443, 'Six02': 0.2814485872837751, 'Eight03': 0.25984106903996584, 'Eight05': 0.22654743676086408}"
1,Eight,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Eight01,Eight05,1,0.89,Eight05,"{'Eight05': 0.8919604865034197, 'Eight03': 0.8749751151488067, 'Zero04': 0.48970876875500835, 'Zero05': 0.4843495118824841, 'Six02': 0.4715845029774015, 'Six06': 0.4455792083260439, 'Four01': 0.43122869710736744, 'Four06': 0.41465470664327864, 'One07': 0.4074445244893651, 'Three07': 0.34181791028926467, 'Three06': 0.3385721539123918, 'Nine07': 0.3167260310530373, 'Five01': 0.3033905876915063, 'Nine02': 0.3024036498522583, 'Two02': 0.27083848973929936, 'Seven04': 0.2701993713557709, 'One05': 0.2679698818737134, 'Two04': 0.2631082011578352, 'Five08': 0.21433285814210967, 'Seven02': 0.21350232921169}"
1,Nine,1,2,20,"['Zero05', 'Zero04', 'One07', 'One05', 'Two04', 'Two02', 'Three07', 'Three06', 'Four01', 'Four06', 'Five01', 'Five08', 'Six06', 'Six02', 'Seven02', 'Seven04', 'Eight05', 'Eight03', 'Nine07', 'Nine02']",Nine06,Nine02,1,0.91,Nine02,"{'Nine02': 0.9134400138316111, 'Nine07': 0.8357608591135666, 'Five01': 0.5986093423492735, 'Five08': 0.595599049569951, 'Four01': 0.5894722869827977, 'Four06': 0.5549943897164866, 'Six02': 0.475923909533013, 'Seven02': 0.45872109300710884, 'Three06': 0.44358752046850625, 'Seven04': 0.42993719343622305, 'Three07': 0.4217901768387984, 'Six06': 0.4205989931105213, 'Zero04': 0.38671143908210526, 'Zero05': 0.3840516157081074, 'Two04': 0.3765502870108164, 'One05': 0.37581423729705676, 'Two02': 0.37036626052430566, 'One07': 0.35538700302153814, 'Eight03': 0.28273938786135866, 'Eight05': 0.26844409755879683}"
1,Zero,1,3,30,"['Zero10', 'Zero07', 'Zero09', 'One02', 'One06', 'One10', 'Two03', 'Two04', 'Two05', 'Three05', 'Three07', 'Three03', 'Four02', 'Four05', 'Four09', 'Five07', 'Five10', 'Five02', 'Six10', 'Six08', 'Six01', 'Seven08', 'Seven01', 'Seven02', 'Eight01', 'Eight08', 'Eight04', 'Nine03', 'Nine05', 'Nine04']",Zero08,Zero09,1,0.95,Zero09,"{'Zero09': 0.9462830036566295, 'Zero10': 0.9324962802782213, 'Zero07': 0.912021958280459, 'Six08': 0.7050408335481886, 'Four05': 0.6335714457653745, 'Four09': 0.6062146789048077, 'Four02': 0.5908396527812485, 'Six01': 0.5257105239528435, 'Eight08': 0.5051227478767797, 'Eight01': 0.4871262767610951, 'Eight04': 0.43348031539742116, 'Nine05': 0.40579506804512266, 'Six10': 0.36733365662865003, 'Three03': 0.3625438616538863, 'One02': 0.3585331139875718, 'Nine04': 0.3568636559768116, 'Three07': 0.3538428472766343, 'Two05': 0.34079699489027804, 'One10': 0.3377833810876326, 'One06': 0.33778338108762807, 'Two04': 0.33403118063174864, 'Two03': 0.3327258312973683, 'Five02': 0.3243224093989101, 'Three05': 0.31910224676114574, 'Seven01': 0.3047110633147002, 'Nine03': 0.2790298450535833, 'Five07': 0.24982916649741105, 'Seven08': 0.24938705639064718, 'Five10': 0.24398095489558136, 'Seven02': 0.19768388722803565}"
1,One,1,3,30,"['Zero10', 'Zero07', 'Zero09', 'One02', 'One06', 'One10', 'Two03', 'Two04', 'Two05', 'Three05', 'Three07', 'Three03', 'Four02', 'Four05', 'Four09', 'Five07', 'Five10', 'Five02', 'Six10', 'Six08', 'Six01', 'Seven08', 'Seven01', 'Seven02', 'Eight01', 'Eight08', 'Eight04', 'Nine03', 'Nine05', 'Nine04']",One09,Two04,0,0.82,Two04,"{'Two04': 0.8167658170196209, 'Seven01': 0.8102358688744806, 'Two05': 0.7991496814988768, 'Two03': 0.7887141411810406, 'One06': 0.7676262742578338, 'One10': 0.7676262742577976, 'Three03': 0.7513191207719294, 'Three07': 0.7427598488351741, 'Seven08': 0.7001841083941611, 'One02': 0.6794009732816527, 'Nine03': 0.6683157407367619, 'Five02': 0.6643794317464529, 'Five10': 0.6571885749178743, 'Seven02': 0.644114744407631, 'Three05': 0.6322782887771018, 'Five07': 0.6172098339253745, 'Nine05': 0.4860714212750694, 'Six10': 0.4717696714674263, 'Nine04': 0.43707755701950246, 'Six01': 0.4201457059970539, 'Four09': 0.41266444734640106, 'Four02': 0.4054094904950015, 'Six08': 0.38471381879177025, 'Four05': 0.38334034476341017, 'Zero09': 0.3545883600841263, 'Zero10': 0.35310502655322173, 'Zero07': 0.3332817293086956, 'Eight01': 0.27839578045851554, 'Eight08': 0.24523581146920548, 'Eight04': 0.22938141856619898}"
1,Two,1,3,30,"['Zero10', 'Zero07', 'Zero09', 'One02', 'One06', 'One10', 'Two03', 'Two04', 'Two05', 'Three05', 'Three07', 'Three03', 'Four02', 'Four05', 'Four09', 'Five07', 'Five10', 'Five02', 'Six10', 'Six08', 'Six01', 'Seven08', 'Seven01', 'Seven02', 'Eight01', 'Eight08', 'Eight04', 'Nine03', 'Nine05', 'Nine04']",Two06,Two04,1,0.95,Two04,"{'Two04': 0.9469992153126896, 'Two05': 0.9375325894024283, 'Two03': 0.9217467863458332, 'Seven01': 0.8555166578272868, 'One06': 0.7700906268733759, 'One10': 0.7700906268733542, 'One02': 0.7518997891201107, 'Three07': 0.744273790343345, 'Seven08': 0.7231459393139912, 'Three03': 0.7207459293388602, 'Seven02': 0.6561435964742497, 'Five10': 0.6435765303084409, 'Five07': 0.6410427260760422, 'Three05': 0.6332661236484309, 'Five02': 0.572096108300781, 'Nine03': 0.5401297069321167, 'Six10': 0.495035794418779, 'Six01': 0.3785856716088083, 'Nine05': 0.37452929103205346, 'Six08': 0.36947793703619003, 'Four09': 0.3369778447083065, 'Nine04': 0.33359205863555597, 'Four02': 0.3273121947607883, 'Four05': 0.32435082422833406, 'Zero07': 0.31614065359378285, 'Eight01': 0.2916078180473066, 'Zero10': 0.27538748857132966, 'Eight08': 0.27452065662971237, 'Eight04': 0.24853345463856802, 'Zero09': 0.2460450530773064}"
