Recognition Log: Kshitij Sinha(1416-0481) Hritik Baweja(5667-7397) // [$1 RECOGNITION ALGORITHM] // [Unistroke Gesture Logs] // USER-DEPENDENT RANDOM-100
User[all-users],GestureType[all-gestures-types],RandomIteration[1to2],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,One,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",One08,One05,1,0.86,One05,"{'One05': 0.8596774011060329, 'One09': 0.8578171638603045, 'One06': 0.8465019403758258, 'One07': 0.8461935321699443, 'One01': 0.841064362200417, 'Seven05': 0.7966772496436922, 'One03': 0.7606488579815921, 'Seven03': 0.7464518253735855, 'Three10': 0.7384711154722172, 'Three04': 0.7216940300082242, 'Two05': 0.7137377270975986, 'Three09': 0.7107753937039002, 'Five01': 0.7077561177976971, 'Five10': 0.7069712747595842, 'Two03': 0.6949740683556741, 'Two04': 0.6927233841660447, 'Two01': 0.6879439544764597, 'Nine09': 0.6692465797739828, 'Three02': 0.6681612951984491, 'Three03': 0.6644738538750713, 'Three01': 0.6621818962827886, 'Five06': 0.6501346462260726, 'Five03': 0.64726786138156, 'Five02': 0.6453566855264095, 'Five07': 0.60333454579911, 'Nine07': 0.6032695602115259, 'Two10': 0.5927109921998237, 'Nine10': 0.5848357672710638, 'Nine04': 0.5782009276720231, 'Six02': 0.5621113735402289, 'Seven01': 0.5613520545413226, 'Two02': 0.5569643158683908, 'Nine02': 0.5341096881504837, 'Six04': 0.5310097736260575, 'Nine05': 0.5208929000418543, 'Four09': 0.5200305207694691, 'Six05': 0.5189146189494207, 'Six01': 0.5104205495833016, 'Seven07': 0.4938291271756745, 'Six10': 0.4718076169050365, 'Six09': 0.4532755661764565, 'Zero01': 0.45230563477967933, 'Four01': 0.4390112329101239, 'Four04': 0.4371496412153053, 'Four07': 0.43577338710447366, 'Four02': 0.4284245251754488, 'Eight01': 0.42283033353430677, 'Zero06': 0.4062863708630725, 'Eight05': 0.4042766725351711, 'Seven09': 0.4033942593745401}"
2,Two,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Two09,Two10,1,0.85,Two10,"{'Two10': 0.8548836281177034, 'Two01': 0.808211645964356, 'Two02': 0.7455172111022166, 'Two03': 0.7273155693921949, 'Two05': 0.7241507218948529, 'Two04': 0.7074045025241571, 'One05': 0.652749283446447, 'One06': 0.630905461965248, 'Seven05': 0.6180459951000918, 'Three04': 0.5763952147992262, 'Three10': 0.5665801743743211, 'Three09': 0.563751027555159, 'Seven03': 0.5587721657978417, 'Eight05': 0.5579966300182089, 'Zero04': 0.5549357408860129, 'Zero06': 0.5500277811798923, 'Three01': 0.5493084207834009, 'Zero10': 0.5491514651885185, 'Zero08': 0.5476914972862024, 'Eight10': 0.532648688107036, 'Zero01': 0.5323529204423626, 'Eight07': 0.5165979468844462, 'Eight01': 0.5111003534183338, 'Zero02': 0.5103936064071788, 'Six02': 0.5078303975409293, 'Three03': 0.50752366558387, 'Eight08': 0.5043555048984925, 'Seven10': 0.5007865802316349, 'Three02': 0.5004702595399928, 'Seven09': 0.49995201881928697, 'Seven07': 0.48724109568338925, 'Six04': 0.4857880977034579, 'Six01': 0.47330275125585697, 'Nine09': 0.4697797140179917, 'Four09': 0.4622999963899206, 'Seven01': 0.4563222227155529, 'Six10': 0.45615931952013533, 'Four07': 0.45109673480608703, 'Six05': 0.44897023623300214, 'Four04': 0.4471739279968331, 'Six09': 0.43282608300113423, 'Four02': 0.4239259932698123, 'Four03': 0.4209210511728907, 'Nine10': 0.36228710122034746, 'Nine07': 0.3515876749286687, 'Four01': 0.34632632539909636, 'Eight02': 0.34041363665738744, 'Five10': 0.33515499532828064, 'Five01': 0.3227589610477346, 'One01': 0.3183898697253551}"
2,Three,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Three05,Three03,1,0.91,Three03,"{'Three03': 0.9093618906095797, 'Three02': 0.86641653887701, 'Three01': 0.8653427053582354, 'Three10': 0.8566294166856167, 'Three04': 0.8528310613968014, 'Three09': 0.8396829287519761, 'Seven03': 0.7442862334156161, 'Five01': 0.742076857096051, 'Seven05': 0.7336151962442695, 'Five10': 0.7217190195615882, 'Five06': 0.6991606301375268, 'One05': 0.6874613821908766, 'Five07': 0.6852132210835202, 'One06': 0.6830174721737068, 'Five02': 0.665257090934256, 'Seven01': 0.6324972276712162, 'One07': 0.6296511796056328, 'Nine09': 0.6214649723714225, 'Two03': 0.6120600383444228, 'Two05': 0.6104530341183056, 'Two04': 0.6080147713694974, 'One03': 0.6032043332940764, 'Five03': 0.6022066438137061, 'One09': 0.5932074297746271, 'Nine07': 0.5927835348371606, 'Nine10': 0.5777139734007997, 'One01': 0.5734363340666526, 'Seven07': 0.5586933448466154, 'Two01': 0.5494663389438119, 'Two10': 0.5190817728169286, 'Two02': 0.5138531246109899, 'Nine05': 0.5117588043284386, 'Nine02': 0.5100899000646564, 'Nine04': 0.46769038962551823, 'Seven09': 0.4511045653708994, 'Six02': 0.4197854927898541, 'Six04': 0.4135657761509719, 'Six05': 0.39992415194166697, 'Seven10': 0.39572799066529396, 'Four09': 0.3934755055105491, 'Four02': 0.39271451904025734, 'Six01': 0.38329473878001796, 'Four07': 0.38105688167950635, 'Six10': 0.36554150921570994, 'Six09': 0.3648247086345753, 'Four04': 0.35177230259188896, 'Four03': 0.33017354148903033, 'Four01': 0.32647116288379596, 'Zero01': 0.31636989561268236, 'Eight10': 0.27975644608252914}"
2,Four,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Four08,Four09,1,0.9,Four09,"{'Four09': 0.8975931056724704, 'Four07': 0.8480959848618368, 'Four04': 0.8332572648551264, 'Six09': 0.8048713101334614, 'Four02': 0.7996169355228699, 'Zero01': 0.7383568933107588, 'Four03': 0.7268162730261305, 'Zero08': 0.7065331301092932, 'Zero04': 0.7048838853943477, 'Zero02': 0.6985528941054657, 'Zero10': 0.6706482228087167, 'Zero06': 0.5739917461365476, 'Four01': 0.5516237277622535, 'Nine10': 0.5299235674216648, 'Six01': 0.4832702140996913, 'Six10': 0.47071106871287727, 'Nine04': 0.4666877687376533, 'Eight10': 0.4624724805334284, 'Nine05': 0.4624185081048464, 'Six02': 0.4530758994472883, 'Three10': 0.4508516303452196, 'Nine02': 0.44961405017315936, 'Five06': 0.4477876786595544, 'Two01': 0.441999502269414, 'Nine07': 0.4409456848937062, 'Six04': 0.4405910372972136, 'One06': 0.436045918246301, 'Three03': 0.4353413604214953, 'Three01': 0.4348811899626355, 'Three02': 0.4289918355572032, 'Five07': 0.4284617121088141, 'One05': 0.4230857309078513, 'Nine09': 0.4195773461216721, 'Two10': 0.41098391199609896, 'Three04': 0.40322513862436904, 'Eight08': 0.4024209272793903, 'Five02': 0.4019919893197652, 'Eight05': 0.40090533714021026, 'Two04': 0.3929619350710376, 'Two05': 0.39263143572636205, 'Five10': 0.3907641721246826, 'Eight07': 0.3898521127882313, 'Two03': 0.3882286073833884, 'Eight01': 0.3855538547926196, 'Three09': 0.3822171399801845, 'Six05': 0.3735732982804133, 'Five01': 0.3727043658450744, 'Seven10': 0.36981790126049185, 'Seven09': 0.3682387433712698, 'Two02': 0.36190842873942264}"
2,Five,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Five05,Five07,1,0.92,Five07,"{'Five07': 0.9183037505128451, 'Five01': 0.8847902476421515, 'Five02': 0.8332169993599872, 'Five06': 0.8190094828338518, 'Five10': 0.813319169325456, 'Three02': 0.7274888303327216, 'Nine07': 0.7271850097659392, 'Nine05': 0.6984634495195957, 'Three10': 0.6911524665814103, 'Nine02': 0.6892884500277054, 'Five03': 0.6813199982825537, 'Nine10': 0.6639641487849607, 'Nine04': 0.649923445134573, 'Three03': 0.6461976785872143, 'Nine09': 0.6385092399643546, 'One06': 0.6248764420220916, 'Three04': 0.6195322079121643, 'Three09': 0.6121287679097237, 'One09': 0.6116331538488303, 'One07': 0.6100787459329494, 'One01': 0.6047652239957386, 'One05': 0.6008272187957566, 'Seven05': 0.5990905914373634, 'One03': 0.5873482040239659, 'Seven03': 0.5827187412544594, 'Three01': 0.5501235841870091, 'Six05': 0.532591886678865, 'Six04': 0.5303110799726285, 'Six01': 0.5272530508472236, 'Six02': 0.5195845499431949, 'Six09': 0.5155734521694555, 'Six10': 0.5151938698316032, 'Four09': 0.48606778815764695, 'Four04': 0.4546866131653575, 'Seven01': 0.4516129744219566, 'Two05': 0.451208676180321, 'Zero01': 0.4447825007183104, 'Two04': 0.4443468341892416, 'Four02': 0.43546698341536505, 'Four07': 0.43235716809906966, 'Two03': 0.4300622503601632, 'Four03': 0.41108015606191084, 'Seven07': 0.4026185953151731, 'Two01': 0.3897995811962467, 'Zero04': 0.37286670626181917, 'Four01': 0.34745414825058163, 'Zero08': 0.344970745213913, 'Zero06': 0.3430245121142803, 'Zero10': 0.33647469368680594, 'Seven09': 0.3284089732628718}"
2,Six,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Six08,Six05,1,0.77,Six05,"{'Six05': 0.7733872683092123, 'Six10': 0.7497486415439436, 'Six04': 0.7444059435647752, 'Six01': 0.7189914774468577, 'Six02': 0.7085086127576308, 'Five03': 0.6331121349226024, 'Five10': 0.5533202233117678, 'Five01': 0.5276605546233467, 'Five02': 0.5251587082989717, 'Five06': 0.5172306111768563, 'One01': 0.5155358868846187, 'One09': 0.507243753218459, 'One07': 0.4621932371271008, 'One03': 0.43058093877843784, 'Two03': 0.42881090411555534, 'Two01': 0.42268322889437304, 'Two05': 0.4184238304431501, 'Two04': 0.41287806667209015, 'Five07': 0.4121774910741537, 'Zero06': 0.3748806038763127, 'Two10': 0.3413185875206971, 'Two02': 0.3352302290251783, 'Six09': 0.33502739805039083, 'Seven05': 0.33450812245173733, 'Three10': 0.3296345030381076, 'One05': 0.32229296377152605, 'Eight01': 0.3220763604895984, 'One06': 0.3181535905264258, 'Three09': 0.31077593240134493, 'Seven03': 0.30972246089048217, 'Zero01': 0.2992905787056337, 'Nine04': 0.27601113025226875, 'Three04': 0.2618849537626755, 'Eight02': 0.25849283069840046, 'Zero10': 0.2334692333405315, 'Eight08': 0.23221822089193966, 'Four01': 0.2298613813440301, 'Seven09': 0.2210356361881034, 'Seven07': 0.22050955336563183, 'Seven01': 0.214627068958558, 'Seven10': 0.21426936145553677, 'Four09': 0.212802528785333, 'Three03': 0.20941910613720272, 'Three02': 0.20550516784521888, 'Zero04': 0.18581429831860752, 'Three01': 0.18548474951264216, 'Zero08': 0.1699188664087865, 'Nine05': 0.1607254089655581, 'Eight05': 0.15940844287763245, 'Nine10': 0.1559794101546118}"
2,Seven,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Seven06,Seven07,1,0.96,Seven07,"{'Seven07': 0.9590160853480739, 'Seven09': 0.9355349041294897, 'Seven10': 0.8911611471658212, 'Seven01': 0.8843726622075072, 'Three03': 0.7499399362296432, 'Seven03': 0.7419865009173564, 'Nine09': 0.7304267252636675, 'Three01': 0.7252386427748032, 'Three02': 0.7080489921088786, 'Three04': 0.6914614332235894, 'Seven05': 0.6821195853401653, 'One05': 0.6678085575086481, 'One06': 0.6633571245585619, 'Nine07': 0.610345630190777, 'Three09': 0.6055534078158963, 'Three10': 0.5569622728486052, 'Two02': 0.5535443093658479, 'Nine10': 0.4989200087244432, 'Nine02': 0.4903835294528386, 'Two05': 0.48494381478360826, 'Two10': 0.47690177157456626, 'Nine05': 0.46591251289936897, 'Two04': 0.4473173037090754, 'Two03': 0.44212239913444207, 'Two01': 0.4293359845366578, 'Nine04': 0.39813049283729596, 'Five07': 0.37046707834534864, 'Four09': 0.3391498092618914, 'Five02': 0.33394232924498635, 'Five06': 0.3254246085900878, 'Four04': 0.3163316938058509, 'Four02': 0.30407571530005617, 'Four07': 0.2991318984914152, 'Eight08': 0.29885690747319915, 'Five10': 0.2939542718652153, 'Four01': 0.2870605249128839, 'Four03': 0.28605140322247213, 'Five01': 0.2609136535909464, 'Five03': 0.246622859145875, 'Six09': 0.24377987434775084, 'Eight01': 0.23515922009662216, 'Zero01': 0.23179704925598144, 'Eight05': 0.22331830993291135, 'Eight10': 0.21190891764245645, 'Zero04': 0.20171034548251487, 'Zero10': 0.19996014328054357, 'Zero08': 0.19587260869830714, 'Eight07': 0.19093435267430436, 'One01': 0.17794000203883964, 'Zero06': 0.1771304111689539}"
2,Eight,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Eight04,Eight10,1,0.87,Eight10,"{'Eight10': 0.8723963564468915, 'Eight07': 0.7891683682668564, 'Eight08': 0.7536617944877622, 'Eight05': 0.6901502532703558, 'Eight01': 0.6243605268469588, 'Eight02': 0.580953417451427, 'Zero08': 0.5691681357459231, 'Zero02': 0.5638511603471859, 'Zero04': 0.5529140830355574, 'Zero10': 0.5498947277405685, 'Four09': 0.5474402256771362, 'Zero01': 0.5191367972620949, 'Four07': 0.5018192202023377, 'Four01': 0.4985273973734683, 'Zero06': 0.496887922818274, 'Two01': 0.49165716153544126, 'Two10': 0.47727921991193334, 'Four02': 0.47348145150200516, 'Four04': 0.4613696953764035, 'Four03': 0.4540989757715226, 'Two03': 0.42454940085003723, 'Six09': 0.4222339857853099, 'Two04': 0.42063249988515716, 'Six02': 0.4034492246327289, 'Two05': 0.4009899552773206, 'Six01': 0.3941818280521956, 'Two02': 0.3938393775788884, 'Six10': 0.38398961134021514, 'Six04': 0.37944769030497505, 'One05': 0.35497267922369935, 'Six05': 0.3374146933881109, 'One06': 0.33676775559184247, 'Three09': 0.32828903587169656, 'Nine09': 0.32156535717365464, 'Three03': 0.30454974313877203, 'Three10': 0.29801595484502574, 'Three01': 0.2819879133741018, 'Five01': 0.2800888492843493, 'Nine10': 0.2779867285046803, 'Nine07': 0.2776404313362427, 'Three04': 0.2765047668958851, 'Seven01': 0.265051885663642, 'Seven07': 0.25813709341377145, 'Nine02': 0.2579605511452182, 'Seven05': 0.25492610386093784, 'Three02': 0.2526658227664681, 'Nine05': 0.2418096933511047, 'Seven03': 0.24079629337227648, 'Seven09': 0.23274869795684705, 'Nine04': 0.21690472947180572}"
2,Nine,1,6,60,"['Zero06', 'Zero01', 'Zero10', 'Zero02', 'Zero04', 'Zero08', 'One06', 'One09', 'One05', 'One01', 'One03', 'One07', 'Two05', 'Two04', 'Two10', 'Two01', 'Two02', 'Two03', 'Three02', 'Three03', 'Three10', 'Three09', 'Three04', 'Three01', 'Four07', 'Four04', 'Four09', 'Four02', 'Four01', 'Four03', 'Five01', 'Five07', 'Five10', 'Five06', 'Five03', 'Five02', 'Six01', 'Six05', 'Six02', 'Six10', 'Six09', 'Six04', 'Seven03', 'Seven05', 'Seven07', 'Seven10', 'Seven09', 'Seven01', 'Eight02', 'Eight10', 'Eight08', 'Eight07', 'Eight05', 'Eight01', 'Nine05', 'Nine10', 'Nine02', 'Nine04', 'Nine09', 'Nine07']",Nine06,Nine10,1,0.88,Nine10,"{'Nine10': 0.8842580035817351, 'Nine05': 0.8505707857272073, 'Nine07': 0.8278319197030717, 'Nine02': 0.825279049334481, 'Nine04': 0.7539869930158125, 'Five07': 0.7107931017885833, 'Nine09': 0.7006500990384481, 'Five06': 0.6769987387642206, 'Five02': 0.6605029999796839, 'Five10': 0.6249226496385611, 'Three02': 0.6151126899402289, 'Three03': 0.591069839253678, 'Three10': 0.5743898098597784, 'Three01': 0.5593783436245638, 'Five01': 0.5472287247214538, 'Six09': 0.5451621817400532, 'Three04': 0.5374864060154414, 'Four03': 0.5366130952903101, 'Four02': 0.5321455537405406, 'Four04': 0.5289916522013924, 'Seven07': 0.5278050759254653, 'Seven09': 0.5275583037490483, 'One06': 0.516342656611366, 'Three09': 0.515990651853885, 'Four07': 0.5127493487246639, 'Seven10': 0.5099709015026355, 'One05': 0.5090182201826614, 'Seven01': 0.5085456575538765, 'Four09': 0.5014976912240137, 'Zero01': 0.4896509701175291, 'Seven05': 0.4802669411507603, 'Seven03': 0.4608653903958245, 'Four01': 0.4432882947599439, 'One09': 0.43348290407250034, 'Five03': 0.4310015933590169, 'One01': 0.42995487606953187, 'Zero04': 0.42751510629275813, 'Two05': 0.4220949502138396, 'Two04': 0.4200798980489858, 'Six01': 0.4092231536933383, 'Two03': 0.40667241474115745, 'Two01': 0.40431517050618115, 'One07': 0.4030499786339573, 'Six02': 0.4026253331895907, 'Zero10': 0.39035275297492333, 'Zero08': 0.38650632491171133, 'Six04': 0.3863585432163569, 'Zero06': 0.38479549253561884, 'Zero02': 0.379705670316704, 'Six10': 0.37151999442795214}"
2,Zero,1,7,70,"['Zero10', 'Zero09', 'Zero07', 'Zero08', 'Zero05', 'Zero04', 'Zero02', 'One06', 'One02', 'One04', 'One03', 'One09', 'One05', 'One08', 'Two06', 'Two05', 'Two08', 'Two04', 'Two01', 'Two07', 'Two03', 'Three02', 'Three09', 'Three07', 'Three05', 'Three04', 'Three06', 'Three01', 'Four07', 'Four09', 'Four05', 'Four06', 'Four01', 'Four02', 'Four04', 'Five03', 'Five06', 'Five08', 'Five02', 'Five10', 'Five04', 'Five07', 'Six04', 'Six05', 'Six10', 'Six03', 'Six07', 'Six06', 'Six02', 'Seven01', 'Seven05', 'Seven06', 'Seven03', 'Seven10', 'Seven09', 'Seven07', 'Eight03', 'Eight05', 'Eight06', 'Eight02', 'Eight01', 'Eight10', 'Eight04', 'Nine07', 'Nine04', 'Nine08', 'Nine10', 'Nine01', 'Nine02', 'Nine09']",Zero01,Zero04,1,0.87,Zero04,"{'Zero04': 0.8701492666845275, 'Zero05': 0.8632921096050405, 'Zero02': 0.832734421952419, 'Zero07': 0.8326896914244726, 'Zero08': 0.8213052822913611, 'Zero10': 0.8045750585663608, 'Six07': 0.7942534389995658, 'Six10': 0.7792660910880654, 'Six06': 0.7737048426675356, 'Six04': 0.7435673095264289, 'Six03': 0.7303608778626295, 'Six02': 0.7087733300309211, 'Six05': 0.7079280412326703, 'Four09': 0.7019701780716372, 'Four05': 0.6626263059073507, 'Four04': 0.6620036100388914, 'Four07': 0.6470136077505564, 'Two01': 0.6208259665811215, 'Four02': 0.600534200808774, 'Four06': 0.5757318343339373, 'Two07': 0.5666051408691222, 'Two03': 0.5461078712392079, 'Two05': 0.539541641807628, 'Two06': 0.5376895559691606, 'Nine10': 0.5329834731278483, 'Two04': 0.5286807561796285, 'Five06': 0.5251191443346644, 'Eight04': 0.5191367972620949, 'Two08': 0.5156853949446919, 'Five08': 0.5137641085612086, 'Five10': 0.5055383480879984, 'Eight01': 0.49816891832749, 'Five02': 0.49104424524977186, 'Eight05': 0.4864109232762399, 'Eight10': 0.47534478008363856, 'Nine01': 0.4718020532984879, 'Five04': 0.4592864822388968, 'Five07': 0.45250755664872566, 'One08': 0.45230563477967933, 'One06': 0.43367975800962155, 'Nine07': 0.4173716560364671, 'One04': 0.41538495733535585, 'One05': 0.4099894310359167, 'Nine02': 0.4078722293464926, 'Seven05': 0.3979870589213491, 'Zero09': 0.39131807621233283, 'Nine08': 0.37539893241250855, 'Three07': 0.3750427632621337, 'Three04': 0.3750241509034905, 'Three09': 0.3714653070288808}"
2,One,1,7,70,"['Zero10', 'Zero09', 'Zero07', 'Zero08', 'Zero05', 'Zero04', 'Zero02', 'One06', 'One02', 'One04', 'One03', 'One09', 'One05', 'One08', 'Two06', 'Two05', 'Two08', 'Two04', 'Two01', 'Two07', 'Two03', 'Three02', 'Three09', 'Three07', 'Three05', 'Three04', 'Three06', 'Three01', 'Four07', 'Four09', 'Four05', 'Four06', 'Four01', 'Four02', 'Four04', 'Five03', 'Five06', 'Five08', 'Five02', 'Five10', 'Five04', 'Five07', 'Six04', 'Six05', 'Six10', 'Six03', 'Six07', 'Six06', 'Six02', 'Seven01', 'Seven05', 'Seven06', 'Seven03', 'Seven10', 'Seven09', 'Seven07', 'Eight03', 'Eight05', 'Eight06', 'Eight02', 'Eight01', 'Eight10', 'Eight04', 'Nine07', 'Nine04', 'Nine08', 'Nine10', 'Nine01', 'Nine02', 'Nine09']",One01,One09,1,0.96,One09,"{'One09': 0.9639491470614463, 'One02': 0.9430684519236497, 'One08': 0.8410643622004261, 'One03': 0.8124289157444144, 'Five10': 0.7282123118462307, 'Five04': 0.7076016422491896, 'One04': 0.7002860405796707, 'Five06': 0.6679403835034343, 'One05': 0.6584950939034788, 'One06': 0.6348545929343211, 'Five02': 0.6333292259039878, 'Five03': 0.6327055644059685, 'Two03': 0.6159761103363268, 'Three07': 0.6144912543572816, 'Two04': 0.6125987069628996, 'Six02': 0.612197086216457, 'Two05': 0.6093557408819141, 'Three09': 0.5901515733575062, 'Five07': 0.5900924311746312, 'Seven05': 0.5860518172370057, 'Six04': 0.5823924830689342, 'Two01': 0.5743180738852314, 'Three05': 0.5734363340666526, 'Two08': 0.5658492265994786, 'Six05': 0.5657586128899994, 'Six03': 0.5566534379710032, 'Three06': 0.5435628723725565, 'Three04': 0.5419960984814671, 'Five08': 0.5318979067161618, 'Six07': 0.5282093652255819, 'Nine08': 0.5277930309229197, 'Nine01': 0.5257345932237502, 'Two06': 0.5187256597864185, 'Seven03': 0.5106884259911812, 'Nine04': 0.5061167878271591, 'Six10': 0.49670230652064473, 'Three02': 0.4904172677922065, 'Nine07': 0.46359153639737116, 'Nine10': 0.4524014823094493, 'Three01': 0.4432565034105488, 'Nine02': 0.43669083942540654, 'Six06': 0.42975009835365485, 'Four01': 0.42754281512154546, 'Nine09': 0.4127036164741156, 'Two07': 0.3826503847722613, 'Eight01': 0.37511911287634603, 'Four09': 0.3403447629624594, 'Eight02': 0.2839648261020793, 'Eight05': 0.2831221609279624, 'Four02': 0.2822248304491677}"
